uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:16010:1000,LC336045.1,100.000,151,0,0,1,151,3,153,1.46e-71,279
Enterobacteriaceae bacterium,FS10000603:2:BPC29607-1927:1:1101:12880:1010,MK248151.1,98.013,151,3,0,1,151,285,435,1.47e-66,263
Pseudomonas fragi,FS10000603:2:BPC29607-1927:1:1101:13200:1010,MN307364.1,99.338,151,1,0,1,151,285,435,6.79e-70,274
Pseudomonas sp.,FS10000603:2:BPC29607-1927:1:1101:7280:1020,MK965115.1,96.644,149,5,0,1,149,362,510,4.04e-62,248
Enterobacteriaceae bacterium,FS10000603:2:BPC29607-1927:1:1101:8880:1020,MK248151.1,99.338,151,1,0,1,151,285,435,6.79e-70,274
Pseudomonas fragi,FS10000603:2:BPC29607-1927:1:1101:16360:1020,MN307364.1,99.338,151,1,0,1,151,285,435,6.79e-70,274
Leuconostoc gelidum subsp. gasicomitatum,FS10000603:2:BPC29607-1927:1:1101:6440:1030,LC483550.1,99.338,151,1,0,1,151,330,480,6.79e-70,274
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:10820:1030,GU343154.2,99.333,150,1,0,1,150,3,152,2.42e-69,272
Lactobacillus algidus,FS10000603:2:BPC29607-1927:1:1101:11810:1030,MK948880.1,94.667,150,8,0,1,150,330,479,1.14e-57,233
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:12650:1030,LR595455.1,99.338,151,1,0,1,151,1,151,6.79e-70,274
Enterobacteriaceae bacterium,FS10000603:2:BPC29607-1927:1:1101:2730:1040,MK248151.1,98.000,150,2,1,1,150,285,433,1.88e-65,259
Pseudomonas sp. DM2,FS10000603:2:BPC29607-1927:1:1101:5060:1040,FJ517635.1,99.338,151,1,0,1,151,328,478,6.79e-70,274
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:1270:1050,LR594895.1,97.987,149,3,0,1,149,1,149,1.87e-65,259
Pseudomonas thivervalensis,FS10000603:2:BPC29607-1927:1:1101:4880:1050,MN317372.1,99.338,151,1,0,1,151,277,427,6.79e-70,274
Pseudomonas fragi,FS10000603:2:BPC29607-1927:1:1101:10590:1060,MN307364.1,99.338,151,1,0,1,151,285,435,6.79e-70,274
Carnobacterium divergens,FS10000603:2:BPC29607-1927:1:1101:1240:1070,MN229536.1,99.333,150,1,0,1,150,293,442,2.42e-69,272
Lactobacillus algidus,FS10000603:2:BPC29607-1927:1:1101:12650:1070,MK948880.1,98.675,151,2,0,1,151,330,480,3.16e-68,268
Pseudomonas putida,FS10000603:2:BPC29607-1927:1:1101:13130:1070,MG846038.1,98.675,151,2,0,1,151,1,151,3.16e-68,268
